BveTs Vehicle Performance Table 1.00,
#,C-Empty
0,1.00
1,6.09
2,12.19
3,18.28
4,24.38
5,30.47
6,36.56
7,42.66
8,48.75
9,54.85
10,60.94
11,67.03
12,73.13
13,79.22
14,85.31
15,91.41
16,91.41
17,91.41
18,91.41
19,91.41
20,91.41
21,91.41
22,91.41
23,91.41
24,91.41
25,91.41
26,91.41
27,91.41
28,91.41
29,91.41
30,91.41
31,91.41
32,91.41
33,91.41
34,91.41
35,91.41
36,91.41
37,91.41
38,91.41
39,91.41
40,91.41
41,91.41
42,91.41
43,91.41
44,91.41
45,91.41
46,91.41
47,91.41
48,91.41
49,91.41
50,91.41
51,91.41
52,91.41
53,91.41
54,91.41
55,91.41
56,91.41
57,91.41
58,91.41
59,91.41
60,91.41
61,91.41
62,92.12
63,92.97
64,93.82
65,94.67
66,94.92
67,95.19
68,95.48
69,95.78
70,96.10
71,96.43
72,96.78
73,97.14
74,97.51
75,97.90
76,98.30
77,98.71
78,99.13
79,99.57
80,100.01
81,100.46
82,100.57
83,99.36
84,98.17
85,97.02
86,95.89
87,94.79
88,93.71
89,92.66
90,91.63
91,90.62
92,89.64
93,88.67
94,87.73
95,86.81
96,85.90
97,85.02
98,84.15
99,83.30
100,82.47
101,81.65
102,80.85
103,80.06
104,79.29
105,78.54
106,77.80
107,77.07
108,76.36
109,75.66
110,74.97
111,74.29
112,73.63
113,72.98
114,72.34
115,71.71
116,71.09
117,70.48
118,69.89
119,69.30
120,68.72
121,68.15
122,67.59
123,67.05
124,66.50
125,65.97
126,65.45
127,64.93
128,64.43
129,63.93
130,63.44
131,62.95
132,62.47
133,62.00
134,61.54
135,61.09
136,60.64
137,60.19
138,59.76
139,59.33
140,58.90
141,58.49
142,58.07
143,57.67
144,57.27
145,56.87
146,56.48
147,56.10
148,55.72
149,55.35
150,54.98
