BveTs Vehicle Performance Table 1.00,
#,F-Max
0,1
1,5046
2,10091
3,15136
4,20182
5,25227
6,30272
7,35317
8,40363
9,45408
10,50453
11,55498
12,60544
13,65589
14,70634
15,75679
16,75679
17,75679
18,75679
19,75679
20,75679
21,75679
22,75679
23,75679
24,75679
25,75679
26,75679
27,75679
28,75679
29,75679
30,75679
31,75679
32,75679
33,75679
34,75679
35,75679
36,75679
37,75679
38,75679
39,75679
40,75679
41,75679
42,75679
43,75679
44,75679
45,75679
46,75679
47,75679
48,75679
49,75679
50,75679
51,75679
52,75679
53,75679
54,75679
55,75679
56,75679
57,75679
58,75679
59,75679
60,75679
61,75679
62,75679
63,75679
64,75679
65,75679
66,73292
67,71013
68,68838
69,66760
70,64773
71,62872
72,61052
73,59309
74,57638
75,56036
76,54499
77,53023
78,51606
79,50244
80,48934
81,47674
82,46461
83,45293
84,44168
85,43084
86,42039
87,41031
88,40058
89,39118
90,38211
91,37335
92,36488
93,35669
94,34876
95,34110
96,33368
97,32650
98,31954
99,31280
100,30627
101,29993
102,29379
103,28783
104,28205
105,27644
106,27099
107,26570
108,26056
109,25557
110,25071
111,24599
112,24140
113,23694
114,23260
115,22837
116,22425
117,22025
118,21635
119,21255
120,20884
121,20524
122,20172
123,19829
124,19495
125,19169
126,18851
127,18540
128,18237
129,17942
130,17653
131,17371
132,17096
133,16827
134,16565
135,16308
136,16057
137,15812
138,15573
139,15338
140,15109
141,14885
142,14666
143,14451
144,14241
145,14036
146,13835
147,13638
148,13445
149,13256
150,13071
