BveTs Vehicle Performance Table 1.00,,,,
#,c,,,
#,1,2,3,4
#,p1c,p2c,p3c,p4c
0,45,76.1,90,95
1,45,76.1,90,95
2,45,76.1,90,95
3,45,76.1,90,95
4,45,76.1,90,95
5,45,76.1,90,95
6,45,76.1,90,95
7,45,76.1,90,95
8,45,76.1,90,95
9,40.7,76.1,90,95
10,36.6,76.1,90,95
11,33.3,76.1,90,95
12,30.5,76.1,90,95
13,28.2,76.1,90,95
14,26.2,76.1,90,95
15,24.4,76.1,90,95
16,22.9,76.1,90,95
17,21.5,76.1,90,95
18,20.3,76.1,90,95
19,19.3,76.1,90,95
20,18.3,76.1,90,95
21,17.4,76.1,90,95
22,16.6,76.1,90,95
23,15.9,76.1,90,95
24,15.3,76.1,90,95
25,14.6,76.1,90,95
26,14.1,76.1,90,95
27,13.6,76.1,90,95
28,13.1,76.1,90,95
29,12.6,76.1,90,95
30,12.2,74.3,90,95
31,11.8,71.9,90,95
32,11.4,69.7,90,95
33,11.1,67.5,90,95
34,10.8,65.6,90,95
35,10.5,63.7,90,95
36,10.2,61.9,90,95
37,9.9,60.2,90,95
38,9.6,58.7,90,95
39,9.4,57.2,90,95
40,9.2,55.7,90,95
41,8.9,54.4,90,95
42,8.7,53.1,90,95
43,8.5,51.8,90,95
44,8.3,50.7,90,95
45,8.1,49.5,90,95
46,8,48.5,90,95
47,7.8,47.4,90,95
48,7.6,46.4,90,95
49,7.5,45.5,90,95
50,7.3,44.6,90,95
51,7.2,43.7,90,95
52,7,42.9,90,95
53,6.9,42.1,90,95
54,6.8,41.3,90,95
55,6.7,40.5,90,95
56,6.5,39.8,90,95
57,6.4,39.1,90,95
58,6.3,38.4,90,95
59,6.2,37.8,90,95
60,6.1,37.2,90,95
61,6,36.5,90,95
62,5.9,36,89.8,95
63,5.8,35.4,88.3,95
64,5.7,34.8,87,95
65,5.6,34.3,85.6,95
66,5.5,33.8,84.3,95
67,5.5,33.3,83.1,95
68,5.4,32.8,81.8,95
69,5.3,32.3,80.7,95
70,5.2,31.8,79.5,95
71,5.2,31.4,78.4,95
72,5.1,31,77.3,95
73,5,30.5,76.2,95
74,4.9,30.1,75.2,95
75,4.9,29.7,74.2,95
76,4.8,29.3,73.2,95
77,4.8,28.9,72.3,95
78,4.7,28.6,71.4,95
79,4.6,28.2,70.5,95
80,4.6,27.9,69.6,95
81,4.5,27.5,68.7,95
82,4.5,27.2,67.9,94.3
83,4.4,26.9,67.1,93.1
84,4.4,26.5,66.3,92
85,4.3,26.2,65.5,90.9
86,4.3,25.9,64.7,89.9
87,4.2,25.6,64,88.8
88,4.2,25.3,63.2,87.8
89,4.1,25,62.5,86.8
90,4.1,24.8,61.8,85.9
91,4,24.5,61.2,84.9
92,4,24.2,60.5,84
93,3.9,24,59.8,83.1
94,3.9,23.7,59.2,82.2
95,3.9,23.5,58.6,81.4
96,3.8,23.2,58,80.5
97,3.8,23,57.4,79.7
98,3.7,22.7,56.8,78.9
99,3.7,22.5,56.2,78.1
100,3.7,22.3,55.7,77.3
101,3.6,22.1,55.1,76.5
102,3.6,21.9,54.6,75.8
103,3.6,21.6,54,75
104,3.5,21.4,53.5,74.3
105,3.5,21.2,53,73.6
106,3.5,21,52.5,72.9
107,3.4,20.8,52,72.2
108,3.4,20.6,51.5,71.6
109,3.4,20.5,51.1,70.9
110,3.3,20.3,50.6,70.3
111,3.3,20.1,50.1,69.6
112,3.3,19.9,49.7,69
113,3.2,19.7,49.3,68.4
114,3.2,19.6,48.8,67.8
115,3.2,19.4,48.4,67.2
116,3.2,19.2,48,66.6
117,3.1,19.1,47.6,66.1
118,3.1,18.9,47.2,65.5
119,3.1,18.7,46.8,64.9
120,3.1,18.6,46.4,64.4
121,3,18.4,46,63.9
122,3,18.3,45.6,63.3
123,3,18.1,45.2,62.8
124,3,18,44.9,62.3
125,2.9,17.8,44.5,61.8
126,2.9,17.7,44.2,61.3
127,2.9,17.6,43.8,60.9
128,2.9,17.4,43.5,60.4
129,2.8,17.3,43.1,59.9
130,2.8,17.1,42.8,59.5
131,2.8,17,42.5,59
132,2.8,16.9,42.2,58.5
133,2.8,16.8,41.8,58.1
134,2.7,16.6,41.5,57.7
135,2.7,16.5,41.2,57.2
136,2.7,16.4,40.9,56.8
137,2.7,16.3,40.6,56.4
138,2.7,16.2,40.3,56
139,2.6,16,40,55.6
140,2.6,15.9,39.8,55.2
141,2.6,15.8,39.5,54.8
142,2.6,15.7,39.2,54.4
143,2.6,15.6,38.9,54
144,2.5,15.5,38.6,53.7
145,2.5,15.4,38.4,53.3
146,2.5,15.3,38.1,52.9
147,2.5,15.2,37.9,52.6
148,2.5,15.1,37.6,52.2
149,2.5,15,37.4,51.9
150,2.4,14.9,37.1,51.5
