BveTs Vehicle Performance Table 1.00,,,,
#,cMax,,,
#,1,2,3,4
#,p1cMax,p2cMax,p3cMax,p4cMax
0,73.2,123.8,146.5,154.6
1,73.2,123.8,146.5,154.6
2,73.2,123.8,146.5,154.6
3,73.2,123.8,146.5,154.6
4,73.2,123.8,146.5,154.6
5,73.2,123.8,146.5,154.6
6,61,123.8,146.5,154.6
7,52.3,123.8,146.5,154.6
8,45.8,123.8,146.5,154.6
9,40.7,123.8,146.5,154.6
10,36.6,123.8,146.5,154.6
11,33.3,123.8,146.5,154.6
12,30.5,123.8,146.5,154.6
13,28.2,123.8,146.5,154.6
14,26.2,123.8,146.5,154.6
15,24.4,123.8,146.5,154.6
16,22.9,123.8,146.5,154.6
17,21.5,123.8,146.5,154.6
18,20.3,123.8,146.5,154.6
19,19.3,117.3,146.5,154.6
20,18.3,111.5,146.5,154.6
21,17.4,106.1,146.5,154.6
22,16.6,101.3,146.5,154.6
23,15.9,96.9,146.5,154.6
24,15.3,92.9,146.5,154.6
25,14.6,89.2,146.5,154.6
26,14.1,85.7,146.5,154.6
27,13.6,82.6,146.5,154.6
28,13.1,79.6,146.5,154.6
29,12.6,76.9,146.5,154.6
30,12.2,74.3,146.5,154.6
31,11.8,71.9,146.5,154.6
32,11.4,69.7,146.5,154.6
33,11.1,67.5,146.5,154.6
34,10.8,65.6,146.5,154.6
35,10.5,63.7,146.5,154.6
36,10.2,61.9,146.5,154.6
37,9.9,60.2,146.5,154.6
38,9.6,58.7,146.5,154.6
39,9.4,57.2,142.7,154.6
40,9.2,55.7,139.1,154.6
41,8.9,54.4,135.7,154.6
42,8.7,53.1,132.5,154.6
43,8.5,51.8,129.4,154.6
44,8.3,50.7,126.5,154.6
45,8.1,49.5,123.7,154.6
46,8,48.5,121,154.6
47,7.8,47.4,118.4,154.6
48,7.6,46.4,115.9,154.6
49,7.5,45.5,113.6,154.6
50,7.3,44.6,111.3,154.6
51,7.2,43.7,109.1,151.5
52,7,42.9,107,148.6
53,6.9,42.1,105,145.8
54,6.8,41.3,103.1,143.1
55,6.7,40.5,101.2,140.5
56,6.5,39.8,99.4,138
57,6.4,39.1,97.6,135.6
58,6.3,38.4,96,133.3
59,6.2,37.8,94.3,131
60,6.1,37.2,92.8,128.8
61,6,36.5,91.2,126.7
62,5.9,36,89.8,124.7
63,5.8,35.4,88.3,122.7
64,5.7,34.8,87,120.8
65,5.6,34.3,85.6,118.9
66,5.5,33.8,84.3,117.1
67,5.5,33.3,83.1,115.4
68,5.4,32.8,81.8,113.7
69,5.3,32.3,80.7,112
70,5.2,31.8,79.5,110.4
71,5.2,31.4,78.4,108.9
72,5.1,31,77.3,107.3
73,5,30.5,76.2,105.9
74,4.9,30.1,75.2,104.4
75,4.9,29.7,74.2,103
76,4.8,29.3,73.2,101.7
77,4.8,28.9,72.3,100.4
78,4.7,28.6,71.4,99.1
79,4.6,28.2,70.5,97.8
80,4.6,27.9,69.6,96.6
81,4.5,27.5,68.7,95.4
82,4.5,27.2,67.9,94.3
83,4.4,26.9,67.1,93.1
84,4.4,26.5,66.3,92
85,4.3,26.2,65.5,90.9
86,4.3,25.9,64.7,89.9
87,4.2,25.6,64,88.8
88,4.2,25.3,63.2,87.8
89,4.1,25,62.5,86.8
90,4.1,24.8,61.8,85.9
91,4,24.5,61.2,84.9
92,4,24.2,60.5,84
93,3.9,24,59.8,83.1
94,3.9,23.7,59.2,82.2
95,3.9,23.5,58.6,81.4
96,3.8,23.2,58,80.5
97,3.8,23,57.4,79.7
98,3.7,22.7,56.8,78.9
99,3.7,22.5,56.2,78.1
100,3.7,22.3,55.7,77.3
101,3.6,22.1,55.1,76.5
102,3.6,21.9,54.6,75.8
103,3.6,21.6,54,75
104,3.5,21.4,53.5,74.3
105,3.5,21.2,53,73.6
106,3.5,21,52.5,72.9
107,3.4,20.8,52,72.2
108,3.4,20.6,51.5,71.6
109,3.4,20.5,51.1,70.9
110,3.3,20.3,50.6,70.3
111,3.3,20.1,50.1,69.6
112,3.3,19.9,49.7,69
113,3.2,19.7,49.3,68.4
114,3.2,19.6,48.8,67.8
115,3.2,19.4,48.4,67.2
116,3.2,19.2,48,66.6
117,3.1,19.1,47.6,66.1
118,3.1,18.9,47.2,65.5
119,3.1,18.7,46.8,64.9
120,3.1,18.6,46.4,64.4
121,3,18.4,46,63.9
122,3,18.3,45.6,63.3
123,3,18.1,45.2,62.8
124,3,18,44.9,62.3
125,2.9,17.8,44.5,61.8
126,2.9,17.7,44.2,61.3
127,2.9,17.6,43.8,60.9
128,2.9,17.4,43.5,60.4
129,2.8,17.3,43.1,59.9
130,2.8,17.1,42.8,59.5
131,2.8,17,42.5,59
132,2.8,16.9,42.2,58.5
133,2.8,16.8,41.8,58.1
134,2.7,16.6,41.5,57.7
135,2.7,16.5,41.2,57.2
136,2.7,16.4,40.9,56.8
137,2.7,16.3,40.6,56.4
138,2.7,16.2,40.3,56
139,2.6,16,40,55.6
140,2.6,15.9,39.8,55.2
141,2.6,15.8,39.5,54.8
142,2.6,15.7,39.2,54.4
143,2.6,15.6,38.9,54
144,2.5,15.5,38.6,53.7
145,2.5,15.4,38.4,53.3
146,2.5,15.3,38.1,52.9
147,2.5,15.2,37.9,52.6
148,2.5,15.1,37.6,52.2
149,2.5,15,37.4,51.9
150,2.4,14.9,37.1,51.5
