BveTs Vehicle Performance Table 1.00,,,,
#,fMax,,,
#,1,2,3,4
#,p1fMax,p2fMax,p3fMax,p4fMax
0,30068,50842,60131,63460
1,30068,50842,60131,63460
2,30068,50842,60131,63460
3,30068,50842,60131,63460
4,30068,50842,60131,63460
5,30068,50842,60131,63460
6,19061.3,50842,60131,63460
7,12965.4,50842,60131,63460
8,9285.5,50842,60131,63460
9,6917.1,50842,60131,63460
10,5315.3,50842,60131,63460
11,4188.4,50842,60131,63460
12,3369.6,50842,60131,63460
13,2758.5,50842,60131,63460
14,2292,50842,60131,63460
15,1928.9,50842,60131,63460
16,1641.5,50842,60131,63460
17,1410.6,50842,60131,63460
18,1222.8,50842,60131,63460
19,1068.2,46679.1,60131,63460
20,939.6,43045.3,60131,63460
21,831.7,39851.7,60131,63460
22,740.4,37027.6,60131,63460
23,662.5,34516.2,60131,63460
24,595.7,32271.5,60131,63460
25,537.9,30255.8,60131,63460
26,487.6,28437.8,60131,63460
27,443.7,26791.6,60131,63460
28,405.2,25295.5,60131,63460
29,371.1,23931.2,60131,63460
30,341,22683.1,60131,63460
31,314.1,21537.8,60131,63460
32,290.2,20484.1,60131,63460
33,268.7,19512,60131,63460
34,249.4,18613,60131,63460
35,231.9,17779.8,60131,63460
36,216.2,17005.7,60131,63460
37,201.8,16285.3,60131,63460
38,188.8,15613.3,60131,63460
39,177,14985.5,57086.9,63460
40,166.1,14397.9,54268.2,63460
41,156.2,13847,51653.3,63460
42,147,13329.7,49222.9,63460
43,138.6,12843.2,46960.1,63460
44,130.9,12385.1,44849.8,63460
45,123.7,11953,42878.6,63460
46,117.1,11545,41034.6,63460
47,111,11159.3,39307,63460
48,105.3,10794.2,37686.3,63460
49,100,10448.2,36163.8,63460
50,95.1,10120,34731.7,63460
51,90.5,9808.3,33383,61223.7
52,86.2,9511.9,32111.4,59107.4
53,82.2,9229.9,30911.1,57102.4
54,78.4,8961.3,29776.8,55201.1
55,74.9,8705.2,28703.9,53396.3
56,71.6,8460.9,27687.9,51681.4
57,68.5,8227.6,26724.9,50050.5
58,65.6,8004.6,25811.3,48498.1
59,62.9,7791.2,24943.7,47019.1
60,60.3,7587.1,24119.2,45609
61,57.8,7391.5,23334.9,44263.5
62,55.5,7204,22588.2,42978.6
63,53.4,7024.2,21876.8,41750.7
64,51.3,6851.5,21198.5,40576.3
65,49.3,6685.7,20551.3,39452.5
66,47.5,6526.4,19933.2,38376.2
67,45.7,6373.2,19342.7,37344.8
68,44.1,6225.7,18777.9,36355.8
69,42.5,6083.8,18237.6,35406.9
70,41,5947,17720.2,34495.8
71,39.6,5815.2,17224.6,33620.7
72,38.2,5688.1,16749.5,32779.5
73,36.9,5565.5,16293.7,31970.5
74,35.7,5447.1,15856.3,31192.1
75,34.5,5332.8,15436.3,30442.7
76,33.4,5222.4,15032.8,29720.9
77,32.3,5115.6,14644.8,29025.3
78,31.3,5012.4,14271.7,28354.7
79,30.3,4912.5,13912.7,27707.8
80,29.4,4815.8,13567.1,27083.5
81,28.5,4722.2,13234.1,26480.8
82,27.6,4631.6,12913.3,25898.7
83,26.8,4543.7,12604,25336.1
84,26,4458.5,12305.7,24792.3
85,25.2,4375.9,12017.9,24266.4
86,24.5,4295.8,11740,23757.7
87,23.8,4218.1,11471.7,23265.3
88,23.1,4142.6,11212.4,22788.5
89,22.5,4069.3,10961.9,22326.7
90,21.9,3998.1,10719.6,21879.3
91,21.3,3928.9,10485.3,21445.7
92,20.7,3861.6,10258.6,21025.3
93,20.2,3796.2,10039.2,20617.5
94,19.6,3732.6,9826.8,20221.8
95,19.1,3670.7,9621,19837.9
96,18.6,3610.5,9421.6,19465.1
97,18.1,3551.8,9228.3,19103
98,17.7,3494.7,9040.9,18751.4
99,17.2,3439.1,8859.2,18409.6
100,16.8,3385,8682.9,18077.5
101,16.4,3332.2,8511.8,17754.5
102,16,3280.7,8345.7,17440.4
103,15.6,3230.5,8184.5,17134.9
104,15.2,3181.6,8027.8,16837.6
105,14.9,3133.8,7875.7,16548.2
106,14.5,3087.2,7727.8,16266.4
107,14.2,3041.8,7584,15992.1
108,13.9,2997.4,7444.2,15724.8
109,13.6,2954.1,7308.2,15464.4
110,13.2,2911.7,7176,15210.7
111,12.9,2870.4,7047.2,14963.3
112,12.7,2830,6922,14722.2
113,12.4,2790.5,6800,14487
114,12.1,2752,6681.2,14257.6
115,11.9,2714.3,6565.5,14033.8
116,11.6,2677.4,6452.8,13815.4
117,11.4,2641.3,6343,13602.2
118,11.1,2606,6235.9,13394.1
119,10.9,2571.5,6131.6,13190.8
120,10.7,2537.7,6029.8,12992.4
121,10.4,2504.7,5930.5,12798.5
122,10.2,2472.3,5833.7,12609.1
123,10,2440.6,5739.3,12424
124,9.8,2409.6,5647.1,12243.1
125,9.6,2379.2,5557.1,12066.2
126,9.4,2349.5,5469.2,11893.3
127,9.2,2320.3,5383.4,11724.1
128,9.1,2291.7,5299.6,11558.7
129,8.9,2263.7,5217.8,11396.9
130,8.7,2236.3,5137.8,11238.6
131,8.6,2209.4,5059.7,11083.6
132,8.4,2183,4983.3,10932
133,8.2,2157.1,4908.7,10783.5
134,8.1,2131.7,4835.7,10638.2
135,7.9,2106.8,4764.3,10495.9
136,7.8,2082.4,4694.5,10356.5
137,7.7,2058.4,4626.2,10219.9
138,7.5,2034.9,4559.4,10086.1
139,7.4,2011.8,4494,9955.1
140,7.2,1989.2,4430.1,9826.6
141,7.1,1966.9,4367.4,9700.7
142,7,1945.1,4306.1,9577.3
143,6.9,1923.6,4246.1,9456.3
144,6.8,1902.6,4187.4,9337.7
145,6.6,1881.9,4129.8,9221.3
146,6.5,1861.6,4073.4,9107.2
147,6.4,1841.6,4018.2,8995.3
148,6.3,1822,3964.1,8885.5
149,6.2,1802.7,3911,8777.8
150,6.1,1783.7,3859.1,8672
