BveTs Vehicle Performance Table 1.00,
#,C-Max
0,1.00
1,10.52
2,21.05
3,31.57
4,42.10
5,52.62
6,63.15
7,73.67
8,84.20
9,94.72
10,105.25
11,115.77
12,126.30
13,136.82
14,147.35
15,157.87
16,157.87
17,157.87
18,157.87
19,157.87
20,157.87
21,157.87
22,157.87
23,157.87
24,157.87
25,157.87
26,157.87
27,157.87
28,157.87
29,157.87
30,157.87
31,157.87
32,157.87
33,157.87
34,157.87
35,157.87
36,157.87
37,157.87
38,157.87
39,157.87
40,157.87
41,157.87
42,157.87
43,157.87
44,157.87
45,157.87
46,157.87
47,157.87
48,157.87
49,157.87
50,157.87
51,160.24
52,162.61
53,164.97
54,167.34
55,169.71
56,172.08
57,174.45
58,176.81
59,179.18
60,181.55
61,183.92
62,186.29
63,188.66
64,191.02
65,193.39
66,190.46
67,187.62
68,184.86
69,182.18
70,179.58
71,177.05
72,174.59
73,172.20
74,169.87
75,167.61
76,165.40
77,163.25
78,161.16
79,159.12
80,157.13
81,155.19
82,153.30
83,151.45
84,149.65
85,147.89
86,146.17
87,144.49
88,142.85
89,141.24
90,139.67
91,138.14
92,136.64
93,135.17
94,133.73
95,132.32
96,130.94
97,129.59
98,128.27
99,126.97
100,125.70
101,124.46
102,123.24
103,122.04
104,120.87
105,119.72
106,118.59
107,117.48
108,116.39
109,115.33
110,114.28
111,113.25
112,112.24
113,111.24
114,110.27
115,109.31
116,108.37
117,107.44
118,106.53
119,105.63
120,104.75
121,103.89
122,103.04
123,102.20
124,101.37
125,100.56
126,99.77
127,98.98
128,98.21
129,97.45
130,96.70
131,95.96
132,95.23
133,94.51
134,93.81
135,93.11
136,92.43
137,91.75
138,91.09
139,90.43
140,89.79
141,89.15
142,88.52
143,87.91
144,87.29
145,86.69
146,86.10
147,85.51
148,84.94
149,84.37
150,83.80
