BveTs Vehicle Performance Table 1.00,
#,F-Empty
0,1
1,2922
2,5843
3,8764
4,11686
5,14607
6,17528
7,20449
8,23371
9,26292
10,29213
11,32134
12,35056
13,37977
14,40898
15,43819
16,43819
17,43819
18,43819
19,43819
20,43819
21,43819
22,43819
23,43819
24,43819
25,43819
26,43819
27,43819
28,43819
29,43819
30,43819
31,43819
32,43819
33,43819
34,43819
35,43819
36,43819
37,43819
38,43819
39,43819
40,43819
41,43819
42,43819
43,43819
44,43819
45,43819
46,43819
47,43819
48,43819
49,43819
50,43819
51,43819
52,43819
53,43819
54,43819
55,43819
56,43819
57,43819
58,43819
59,43819
60,43819
61,43819
62,43819
63,43819
64,43819
65,43819
66,43819
67,43819
68,43819
69,43819
70,43819
71,43819
72,43819
73,43819
74,43819
75,43819
76,43819
77,43819
78,43819
79,43819
80,43819
81,43819
82,43582
83,42487
84,41432
85,40415
86,39434
87,38488
88,37576
89,36695
90,35844
91,35021
92,34227
93,33458
94,32715
95,31996
96,31301
97,30627
98,29974
99,29342
100,28729
101,28135
102,27559
103,27000
104,26458
105,25931
106,25420
107,24924
108,24442
109,23973
110,23518
111,23075
112,22645
113,22226
114,21818
115,21422
116,21036
117,20660
118,20294
119,19938
120,19590
121,19252
122,18922
123,18601
124,18287
125,17981
126,17683
127,17392
128,17107
129,16830
130,16559
131,16295
132,16037
133,15785
134,15538
135,15298
136,15062
137,14833
138,14608
139,14388
140,14173
141,13963
142,13757
143,13556
144,13359
145,13166
146,12977
147,12793
148,12612
149,12435
150,12261
