BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率250%,1N,2N,3N,4N,5N
0,71.7433939981864,344.823804803982,381.11685189481,417.415592905797,453.714333916784
5,71.7433939981864,344.823804803982,381.11685189481,417.415592905797,453.714333916784
6,59.7861616651553,344.823804803982,381.11685189481,417.415592905797,453.714333916784
8,44.8396212488665,344.823804803982,381.11685189481,417.415592905797,453.714333916784
10,35.8716969990932,344.823804803982,381.11685189481,417.415592905797,453.714333916784
12,29.8930808325777,344.823804803982,381.11685189481,417.415592905797,453.714333916784
14,25.622640713638,344.823804803982,381.11685189481,417.415592905797,453.714333916784
15,23.9144646660621,344.823804803982,381.11685189481,417.415592905797,453.714333916784
16,22.4198106244332,344.823804803982,381.11685189481,417.415592905797,453.714333916784
18,19.9287205550518,344.823804803982,381.11685189481,417.415592905797,453.714333916784
19,18.8798405258385,344.823804803982,381.11685189481,417.415592905797,453.714333916784
20,17.9358484995466,327.582614563782,381.11685189481,417.415592905797,453.714333916784
22,16.3053168177696,297.802376876166,381.11685189481,417.415592905797,453.714333916784
24,14.9465404162888,272.985512136485,381.11685189481,417.415592905797,453.714333916784
26,13.7968065381128,251.986626587525,381.11685189481,417.415592905797,453.714333916784
28,12.811320356819,233.987581831273,381.11685189481,417.415592905797,453.714333916784
30,11.9572323330311,218.388409709188,381.11685189481,417.415592905797,453.714333916784
32,11.2099053122166,204.739134102364,381.11685189481,417.415592905797,453.714333916784
34,10.5504991173804,192.695655625754,381.11685189481,417.415592905797,453.714333916784
36,9.96436027752589,181.990341424324,381.11685189481,417.415592905797,453.714333916784
38,9.43992026291926,172.411902401991,381.11685189481,417.415592905797,453.714333916784
40,8.9679242497733,163.791307281891,362.06100930007,417.415592905797,453.714333916784
42,8.54088023787933,155.991721220849,344.820008857209,417.415592905797,453.714333916784
44,8.15265840888482,148.901188438083,329.146372090972,417.415592905797,453.714333916784
46,7.79819499980287,142.427223723384,314.83566026093,417.415592905797,453.714333916784
48,7.47327020814442,136.492756068243,301.717507750058,417.415592905797,453.714333916784
50,7.17433939981864,131.033045825513,289.648807440056,417.415592905797,453.714333916784
52,6.89840326905638,125.993313293763,278.508468692361,417.415592905797,453.714333916784
54,6.64290685168392,121.326894282882,268.193340222274,417.415592905797,453.714333916784
56,6.4056601784095,116.993790915637,258.615006642907,417.415592905797,453.714333916784
58,6.18477534467124,112.959522263373,249.697247793151,417.415592905797,453.714333916784
59,6.0799486439141,111.044954089418,245.465091050895,417.415592905797,453.714333916784
60,5.97861616651553,109.194204854594,241.374006200046,417.415592905797,446.152428351505
62,5.7857575804989,105.671811149607,233.587747935529,417.415592905797,431.760414533714
64,5.60495265610831,102.369567051182,226.288130812543,404.371355627491,418.267901579536
66,5.43510560592321,99.267458958722,219.430914727315,392.117678184234,405.593116683186
68,5.27524955869018,96.3478278128772,212.977064294159,380.584805296462,393.663907368975
70,5.1245281427276,93.5950327325093,206.892005314325,369.710953716563,382.416367158433
72,4.98218013876294,90.9951707121618,201.145005166705,359.441205002214,371.79369029292
74,4.84752662149908,88.5358417739953,195.708653675713,349.726577839992,361.745212176896
76,4.71996013145963,86.2059512009954,190.558425947405,340.523246844203,352.225601330135
78,4.59893551270426,83.9955421958417,185.672312461574,331.791881540506,343.194175655004
80,4.48396212488665,81.8956536409456,181.030504650035,323.497084501993,334.614321263629
82,4.37459719501137,79.8981986740933,176.615126487839,315.606911709261,326.45299635476
84,4.27044011893967,77.9958606104244,172.410004428605,308.092461430469,318.68030596536
86,4.17112755803409,76.1820033869262,168.400469441893,300.92752046697,311.269136059189
88,4.07632920444241,74.4505942190415,164.573186045486,294.088258638175,304.19483751239
90,3.98574411101036,72.7961365697294,160.916004133364,287.552964001771,297.434952234337
92,3.89909749990143,71.2136118616918,157.417830130465,281.301812610429,290.968975011851
94,3.81613797862694,69.698428630592,154.068514595774,275.316667661271,284.77814575628
95,3.7759681051677,68.9647609607963,152.446740757924,272.418597475362,281.780481064108
96,3.73663510407221,68.2463780341214,150.858753875029,269.580903751661,278.84526771969
98,3.66037724480543,66.8535948089352,147.780003795947,264.079252654688,273.154547970309
100,3.58716969990932,65.5165229127565,144.824403720028,258.797667601594,267.691457010903
102,3.51683303912678,64.2318852085848,141.984709529439,253.723203530975,262.44260491265
104,3.44920163452819,62.9966566468813,139.254234346181,248.843911155379,257.395631741253
106,3.38412235840502,61.8080404837326,136.62679596229,244.148743020372,252.539110387644
108,3.32145342584196,60.6634471414412,134.096670111137,239.627470001476,247.86246019528
110,3.26106336355393,59.5604753752332,131.658548836389,235.27060691054,243.355870009912
112,3.20283008920475,58.4968954578183,129.307503321453,231.069346072852,239.01022947402
114,3.14664008763975,57.4706341339969,127.038950631603,227.015497896135,234.817067553423
116,3.09238767233562,56.4797611316866,124.848623896576,223.101437587581,230.768497423192
118,3.03997432195705,55.5224770447089,122.732545525447,219.320057289487,226.857166958392
120,2.98930808325777,54.5971024272971,120.687003100023,215.664723001329,223.076214175752
122,2.94030303271256,53.7020679612758,118.708527639367,212.129235739012,219.419227058117
124,2.89287879024945,52.8359055748036,116.793873967764,208.707796452899,215.880207266857
126,2.84696007929311,51.9972404069496,114.940002952403,205.39497428698,212.45353731024
128,2.80247632805416,51.184783525591,113.144065406272,202.185677813746,209.133950789768
130,2.75936130762255,50.397325317505,111.403387476945,199.075128924303,205.916505393002
132,2.71755280296161,49.633729479361,109.715457363657,196.058839092117,202.796558341593
134,2.67699231336516,48.8929275468332,108.077913223901,193.132587762384,199.769744037987
136,2.63762477934509,48.1739139064386,106.488532147079,190.292402648231,196.831953684487
138,2.59939833326762,47.4757412411279,104.945220086977,187.534541740286,193.979316674567
140,2.5622640713638,46.7975163662546,103.446002657163,184.855476858282,191.208183579216
