BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率0%,1N,2N,3N,4N,5N
0,12560,36038,39832,43625,47419
5,12560,36038,39832,43625,47419
6,8722,36038,39832,43625,47419
8,4906,36038,39832,43625,47419
10,3140,36038,39832,43625,47419
12,2181,36038,39832,43625,47419
14,1602,36038,39832,43625,47419
15,1396,36038,39832,43625,47419
16,1227,36038,39832,43625,47419
18,969,36038,39832,43625,47419
19,870,36038,39832,43625,47419
20,785,34236,39832,43625,47419
22,649,31124,39832,43625,47419
24,545,28530,39832,43625,47419
26,464,26335,39832,43625,47419
28,401,24454,39832,43625,47419
30,349,22824,39832,43625,47419
32,307,20060,39832,43625,47419
34,272,17770,39832,43625,47419
36,242,15850,39832,43625,47419
38,217,14225,39832,43625,47419
40,196,12839,37840,41444,45048
42,178,11645,36038,39470,42903
44,162,10610,34400,37676,40953
46,148,9708,32905,36038,39172
48,136,8916,31534,34536,37540
50,126,8217,30272,33155,36038
52,116,7597,29108,31880,34652
54,108,7044,28030,30699,33369
56,100,6550,27029,29603,32177
58,93,6106,26097,28582,31068
59,90,5901,25655,28097,30541
60,87,5706,25227,27629,30032
62,82,5344,23626,26738,29063
64,77,5015,22172,25902,28155
66,72,4716,20849,25117,27302
68,68,4442,19640,24379,26499
70,64,4192,18534,23682,25742
72,61,3963,17519,23024,25027
74,57,3751,16585,22402,24350
76,54,3556,15723,21813,23710
78,52,3376,14927,21253,23102
80,49,3210,14190,20722,22524
82,47,3055,13506,20216,21975
84,45,2911,12871,19735,21451
86,42,2777,12279,19276,20953
88,41,2653,11727,18838,20476
90,39,2536,11212,18419,20021
92,37,2427,10730,18019,19586
94,36,2325,10278,17636,19169
95,35,2276,10063,17450,18968
96,34,2229,9854,17268,18575
98,33,2139,9456,16916,17824
100,31,2054,9082,16578,17119
102,30,1974,8729,16252,16454
104,29,1899,8397,15633,15827
106,28,1828,8083,15049,15236
108,27,1761,7786,14496,14676
110,26,1698,7506,13974,14148
112,25,1638,7240,13479,13647
114,24,1581,6988,13011,13172
116,23,1527,6749,12566,12722
118,23,1475,6522,12143,12294
120,22,1427,6307,11742,11888
122,21,1380,6102,11360,11501
124,20,1336,5906,10997,11133
126,20,1294,5720,10650,10783
128,19,1254,5543,10320,10448
130,19,1215,5374,10005,10129
132,18,1179,5212,9704,9825
134,17,1144,5058,9417,9534
136,17,1111,4910,9142,9255
138,16,1079,4769,8879,8989
140,16,1048,4634,8627,8734
