BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率250%,1N,2N,3N,4N,5N
0,12600,60560,66934,73309,79684
5,12600,60560,66934,73309,79684
6,8750,60560,66934,73309,79684
8,4922,60560,66934,73309,79684
10,3150,60560,66934,73309,79684
12,2188,60560,66934,73309,79684
14,1607,60560,66934,73309,79684
15,1400,60560,66934,73309,79684
16,1230,60560,66934,73309,79684
18,972,60560,66934,73309,79684
19,873,60560,66934,73309,79684
20,788,54655,66934,73309,79684
22,651,45170,66934,73309,79684
24,547,37955,66934,73309,79684
26,466,32340,66934,73309,79684
28,402,27885,66934,73309,79684
30,350,24291,66934,73309,79684
32,308,21350,66934,73309,79684
34,272,18912,66934,73309,79684
36,243,16869,66934,73309,79684
38,218,15140,66934,73309,79684
40,197,13664,60408,69644,75700
42,179,12394,54792,66327,72095
44,163,11292,49924,63312,68818
46,149,10332,45677,60560,65826
48,137,9489,41950,58036,63083
50,126,8745,38661,55715,60560
52,116,8085,35744,53572,58231
54,108,7497,33146,51588,56074
56,100,6971,30820,49745,54071
58,94,6499,28731,48030,52207
59,90,6280,27766,47216,51322
60,88,6073,26848,46429,49626
62,82,5687,25144,44931,46476
64,77,5337,23597,42167,43616
66,72,5019,22188,39650,41013
68,68,4728,20902,37352,38636
70,64,4462,19725,35248,36460
72,61,4217,18644,33317,34462
74,58,3992,17650,31540,32625
76,55,3785,16734,29902,30930
78,52,3593,15886,28388,29364
80,49,3416,15102,26987,27914
82,47,3251,14374,25686,26569
84,45,3098,13698,24478,25319
86,43,2956,13068,23352,24155
88,41,2823,12481,22303,23070
90,39,2699,11932,21323,22056
92,37,2583,11419,20406,21107
94,36,2474,10939,19547,20219
95,35,2422,10709,19137,19795
96,34,2372,10487,18741,19385
98,33,2276,10064,17984,18602
100,32,2186,9665,17271,17865
102,30,2101,9290,16601,17171
104,29,2021,8936,15968,16517
106,28,1946,8602,15372,15900
108,27,1874,8286,14808,15317
110,26,1807,7988,14274,14765
112,25,1743,7705,13769,14242
114,24,1682,7437,13290,13747
116,23,1625,7183,12836,13277
118,23,1570,6941,12404,12831
120,22,1518,6712,11994,12406
122,21,1469,6494,11604,12003
124,20,1422,6286,11233,11619
126,20,1377,6088,10879,11253
128,19,1334,5899,10542,10904
130,19,1294,5719,10220,10571
132,18,1255,5547,9912,10253
134,18,1218,5383,9619,9949
136,17,1182,5226,9338,9659
138,17,1148,5075,9069,9381
140,16,1115,4931,8812,9115
