BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率0%,1N,2N,3N,4N,5N
0,12560,29255,32335,35414,38494
5,12560,29255,32335,35414,38494
6,8722,29255,32335,35414,38494
8,4906,29255,32335,35414,38494
10,3140,29255,32335,35414,38494
12,2181,29255,32335,35414,38494
14,1602,29255,32335,35414,38494
15,1396,29255,32335,35414,38494
16,1227,29255,32335,35414,38494
18,969,29255,32335,35414,38494
19,870,29255,32335,35414,38494
20,785,27792,32335,35414,38494
22,649,25266,32335,35414,38494
24,545,23160,32335,35414,38494
26,464,21379,32335,35414,38494
28,401,19852,32335,35414,38494
30,349,18528,32335,35414,38494
32,307,16284,32335,35414,38494
34,272,14425,32335,35414,38494
36,242,12867,32335,35414,38494
38,217,11548,32335,35414,38494
40,196,10422,30718,33643,36569
42,178,9453,29255,32041,34828
44,162,8613,27926,30585,33245
46,148,7881,26712,29255,31799
48,136,7238,25599,28036,30474
50,126,6670,24575,26915,29255
52,116,6167,23629,25879,28130
54,108,5719,22754,24921,27088
56,100,5317,21942,24031,26121
58,93,4957,21185,23202,25220
59,90,4790,20826,22809,24793
60,87,4632,20479,22429,24380
62,82,4338,19179,21705,23593
64,77,4071,17999,21027,22856
66,72,3828,16925,20390,22163
68,68,3606,15944,19790,21511
70,64,3403,15046,19225,20897
72,61,3217,14222,18691,20316
74,57,3045,13463,18186,19767
76,54,2887,12764,17707,19247
78,52,2741,12118,17253,18753
80,49,2606,11519,16822,18285
82,47,2480,10964,16411,17839
84,45,2363,10448,16021,17414
86,42,2255,9968,15648,17009
88,41,2153,9520,15292,16622
90,39,2059,9102,14953,16253
92,37,1970,8710,14628,15900
94,36,1887,8344,14316,15561
95,35,1848,8169,14166,15398
96,34,1809,8000,14018,15079
98,33,1736,7676,13732,14470
100,31,1668,7372,13457,13897
102,30,1603,7086,13193,13357
104,29,1542,6816,12690,12848
106,28,1484,6561,12216,12368
108,27,1430,6321,11768,11914
110,26,1378,6093,11344,11485
112,25,1329,5877,10942,11078
114,24,1283,5673,10562,10693
116,23,1239,5479,10201,10328
118,23,1198,5295,9858,9980
120,22,1158,5120,9532,9650
122,21,1120,4953,9222,9337
124,20,1084,4795,8927,9038
126,20,1050,4644,8646,8753
128,19,1018,4500,8378,8482
130,19,987,4362,8122,8223
132,18,957,4231,7878,7976
134,17,929,4106,7644,7739
136,17,902,3986,7421,7513
138,16,876,3871,7208,7297
140,16,851,3761,7003,7090
