BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率250%,1N,2N,3N,4N,5N
0,12600,49685,54915,60145,65375
5,12600,49685,54915,60145,65375
6,8750,49685,54915,60145,65375
8,4922,49685,54915,60145,65375
10,3150,49685,54915,60145,65375
12,2188,49685,54915,60145,65375
14,1607,49685,54915,60145,65375
15,1400,49685,54915,60145,65375
16,1230,49685,54915,60145,65375
18,972,49685,54915,60145,65375
19,873,49685,54915,60145,65375
20,788,44841,54915,60145,65375
22,651,37058,54915,60145,65375
24,547,31139,54915,60145,65375
26,466,26533,54915,60145,65375
28,402,22878,54915,60145,65375
30,350,19929,54915,60145,65375
32,308,17516,54915,60145,65375
34,272,15516,54915,60145,65375
36,243,13840,54915,60145,65375
38,218,12421,54915,60145,65375
40,197,11210,49561,57138,62106
42,179,10168,44953,54417,59149
44,163,9265,40959,51943,56460
46,149,8477,37475,49685,54005
48,137,7785,34417,47615,51755
50,126,7175,31719,45710,49685
52,116,6633,29326,43952,47774
54,108,6151,27194,42324,46005
56,100,5719,25286,40813,44362
58,94,5332,23572,39405,42832
59,90,5153,22780,38737,42106
60,88,4982,22027,38092,40714
62,82,4666,20629,36863,38130
64,77,4379,19360,34595,35784
66,72,4118,18204,32530,33648
68,68,3879,17149,30645,31698
70,64,3660,16183,28919,29912
72,61,3460,15297,27334,28274
74,58,3275,14481,25877,26766
76,55,3105,13729,24533,25376
78,52,2948,13034,23291,24091
80,49,2803,12390,22141,22902
82,47,2668,11793,21074,21798
84,45,2542,11238,20082,20773
86,43,2425,10722,19159,19818
88,41,2316,10240,18298,18927
90,39,2214,9790,17494,18095
92,37,2119,9369,16742,17317
94,36,2030,8974,16037,16588
95,35,1987,8786,15701,16241
96,34,1946,8604,15376,15904
98,33,1868,8257,14754,15261
100,32,1794,7930,14170,14657
102,30,1724,7622,13620,14088
104,29,1658,7331,13101,13551
106,28,1596,7057,12611,13045
108,27,1538,6798,12149,12566
110,26,1482,6553,11711,12113
112,25,1430,6322,11296,11685
114,24,1380,6102,10903,11278
116,23,1333,5893,10531,10893
118,23,1288,5695,10177,10527
120,22,1246,5507,9840,10179
122,21,1205,5328,9520,9848
124,20,1167,5157,9216,9532
126,20,1130,4995,8926,9232
128,19,1095,4840,8649,8946
130,19,1061,4692,8385,8673
132,18,1029,4551,8133,8412
134,18,999,4416,7892,8163
136,17,970,4287,7661,7924
138,17,942,4164,7441,7696
140,16,915,4046,7230,7478
