BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率0%,1N,2N,3N,4N,5N
0,12560,29288,32371,35454,38537
5,12560,29288,32371,35454,38537
6,8722,29288,32371,35454,38537
8,4906,29288,32371,35454,38537
10,3140,29288,32371,35454,38537
12,2181,29288,32371,35454,38537
14,1602,29288,32371,35454,38537
15,1396,29288,32371,35454,38537
16,1227,29288,32371,35454,38537
18,969,29288,32371,35454,38537
19,870,29288,32371,35454,38537
20,785,27824,32371,35454,38537
22,649,25294,32371,35454,38537
24,545,23186,32371,35454,38537
26,464,21403,32371,35454,38537
28,401,19874,32371,35454,38537
30,349,18549,32371,35454,38537
32,307,16303,32371,35454,38537
34,272,14441,32371,35454,38537
36,242,12881,32371,35454,38537
38,217,11561,32371,35454,38537
40,196,10434,30752,33681,36610
42,178,9464,29288,32077,34867
44,162,8623,27957,30619,33282
46,148,7889,26741,29288,31835
48,136,7246,25627,28068,30508
50,126,6678,24602,26945,29288
52,116,6174,23656,25909,28162
54,108,5725,22780,24949,27119
56,100,5323,21966,24058,26150
58,93,4963,21209,23228,25248
59,90,4796,20849,22835,24820
60,87,4637,20502,22454,24407
62,82,4343,19201,21730,23619
64,77,4076,18019,21051,22881
66,72,3832,16944,20413,22188
68,68,3610,15962,19813,21535
70,64,3407,15063,19246,20920
72,61,3220,14238,18712,20339
74,57,3049,13478,18206,19789
76,54,2890,12778,17727,19269
78,52,2744,12131,17272,18774
80,49,2608,11532,16841,18305
82,47,2483,10977,16430,17859
84,45,2366,10460,16039,17433
86,42,2257,9979,15666,17028
88,41,2156,9531,15310,16641
90,39,2061,9112,14969,16271
92,37,1972,8720,14644,15917
94,36,1889,8353,14332,15579
95,35,1850,8178,14182,15415
96,34,1811,8009,14034,15096
98,33,1738,7685,13747,14486
100,31,1669,7381,13473,13912
102,30,1605,7094,13208,13372
104,29,1543,6824,12705,12862
106,28,1486,6569,12230,12382
108,27,1431,6328,11781,11927
110,26,1380,6100,11357,11498
112,25,1331,5884,10955,11091
114,24,1285,5679,10574,10705
116,23,1241,5485,10212,10339
118,23,1199,5301,9869,9991
120,22,1159,5126,9543,9661
122,21,1122,4959,9232,9347
124,20,1086,4800,8937,9048
126,20,1052,4649,8656,8763
128,19,1019,4505,8387,8491
130,19,988,4367,8131,8232
132,18,958,4236,7887,7984
134,17,930,4110,7653,7748
136,17,903,3990,7430,7522
138,16,877,3876,7216,7305
140,16,852,3766,7011,7098
