BveTs Vehicle Performance Table 2.00:UTF-8
#乗車率250%,1N,2N,3N,4N,5N
0,12600,49670,54899,60127,65355
5,12600,49670,54899,60127,65355
6,8750,49670,54899,60127,65355
8,4922,49670,54899,60127,65355
10,3150,49670,54899,60127,65355
12,2188,49670,54899,60127,65355
14,1607,49670,54899,60127,65355
15,1400,49670,54899,60127,65355
16,1230,49670,54899,60127,65355
18,972,49670,54899,60127,65355
19,873,49670,54899,60127,65355
20,788,44827,54899,60127,65355
22,651,37047,54899,60127,65355
24,547,31130,54899,60127,65355
26,466,26525,54899,60127,65355
28,402,22871,54899,60127,65355
30,350,19923,54899,60127,65355
32,308,17511,54899,60127,65355
34,272,15511,54899,60127,65355
36,243,13836,54899,60127,65355
38,218,12418,54899,60127,65355
40,197,11207,49546,57121,62087
42,179,10165,44940,54401,59131
44,163,9262,40947,51928,56443
46,149,8474,37464,49670,53989
48,137,7782,34407,47601,51739
50,126,7172,31710,45697,49670
52,116,6631,29317,43939,47759
54,108,6149,27186,42312,45991
56,100,5718,25279,40800,44348
58,94,5330,23565,39394,42819
59,90,5151,22773,38726,42093
60,88,4981,22021,38080,40702
62,82,4665,20623,36852,38118
64,77,4378,19354,34585,35773
66,72,4116,18199,32520,33638
68,68,3878,17144,30636,31688
70,64,3659,16178,28910,29903
72,61,3459,15292,27326,28265
74,58,3274,14477,25869,26758
76,55,3104,13725,24525,25368
78,52,2947,13030,23284,24084
80,49,2802,12387,22134,22895
82,47,2667,11790,21068,21791
84,45,2541,11235,20076,20766
86,43,2424,10719,19153,19811
88,41,2315,10237,18293,18921
90,39,2214,9787,17489,18090
92,37,2118,9366,16737,17312
94,36,2029,8972,16032,16583
95,35,1987,8784,15696,16236
96,34,1946,8602,15371,15899
98,33,1867,8254,14750,15257
100,32,1793,7927,14166,14653
102,30,1723,7620,13616,14084
104,29,1658,7329,13097,13547
106,28,1596,7055,12608,13041
108,27,1537,6796,12145,12562
110,26,1482,6552,11707,12110
112,25,1429,6320,11293,11681
114,24,1380,6100,10900,11275
116,23,1333,5891,10528,10889
118,23,1288,5693,10174,10523
120,22,1245,5505,9837,10175
122,21,1205,5326,9518,9845
124,20,1166,5156,9213,9530
126,20,1129,4993,8923,9229
128,19,1094,4839,8646,8943
130,19,1061,4691,8382,8670
132,18,1029,4550,8130,8409
134,18,999,4415,7889,8160
136,17,969,4286,7659,7922
138,17,942,4163,7439,7694
140,16,915,4045,7228,7476
